"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39011","Bangladesh News","","Wed Sep 18 17:08:54 BDT 2024","passed","Wed Sep 18 17:09:33 BDT 2024","","Prothom Alo","Bangladesh News",""
"","37832","Latest News","","Wed Sep 18 17:08:54 BDT 2024","passed","Wed Sep 18 17:09:32 BDT 2024","","Prothom Alo","Latest News",""
"","38290","Runs Cucumber Scenarios","Surefire suite","Wed Sep 18 17:08:53 BDT 2024","passed","Wed Sep 18 17:09:32 BDT 2024","TestRunner.TestRunner","Surefire test","TestRunner.TestRunner","runScenario"
"","57701","Search","","Wed Sep 18 17:08:54 BDT 2024","passed","Wed Sep 18 17:09:51 BDT 2024","","Prothom Alo","Search",""
"","51446","Runs Cucumber Scenarios","Surefire suite","Wed Sep 18 17:08:53 BDT 2024","passed","Wed Sep 18 17:09:45 BDT 2024","TestRunner.TestRunner","Surefire test","TestRunner.TestRunner","runScenario"
"","50969","Login","","Wed Sep 18 17:08:54 BDT 2024","passed","Wed Sep 18 17:09:45 BDT 2024","","Prothom Alo","Login",""
"","58167","Runs Cucumber Scenarios","Surefire suite","Wed Sep 18 17:08:53 BDT 2024","passed","Wed Sep 18 17:09:51 BDT 2024","TestRunner.TestRunner","Surefire test","TestRunner.TestRunner","runScenario"
"","39459","Runs Cucumber Scenarios","Surefire suite","Wed Sep 18 17:08:53 BDT 2024","passed","Wed Sep 18 17:09:33 BDT 2024","TestRunner.TestRunner","Surefire test","TestRunner.TestRunner","runScenario"
"","36660","Runs Cucumber Scenarios","Surefire suite","Wed Sep 18 17:08:53 BDT 2024","passed","Wed Sep 18 17:09:30 BDT 2024","TestRunner.TestRunner","Surefire test","TestRunner.TestRunner","runScenario"
"","35796","Politics News","","Wed Sep 18 17:08:54 BDT 2024","passed","Wed Sep 18 17:09:30 BDT 2024","","Prothom Alo","Politics News",""
